symbol,current_price,median_forecast,expected_move_pct,status
AADHOS,498.2,497.27,-0.19,OK
AARIND,534.1,529.42,-0.88,OK
AAVFIN,1397.4,1400.93,0.25,OK
ACMSOL,374.1,375.6,0.4,OK
ACTCON,1085.6,1085.78,0.02,OK
ADIAMC,1011.2,1007.24,-0.39,OK
ADIFAS,55.98,56.1,0.21,OK
ADIINF,3519.0,3446.68,-2.06,OK
ADILIF,88.77,89.1,0.37,OK
AEGLOG,1265.4,1275.06,0.76,OK
AEGVOP,269.1,269.26,0.06,OK
AFCINF,268.8,269.36,0.21,OK
AFFIND,1668.8,1663.8,-0.3,OK
AKZNOB,3167.4,3175.23,0.25,OK
ALFLAV,2675.9,2677.48,0.06,OK
ALLBLE,599.45,605.64,1.03,OK
AMARAJ,945.95,948.42,0.26,OK
AMBEN,7222.0,7170.55,-0.71,OK
AMIORG,3235.6,3212.97,-0.7,OK
ANARAJ,629.95,630.64,0.11,OK
