forecast_date,q10,q50,q90
2026-08-17,1143.1105,1174.6687,1228.6683
2026-08-18,1108.0457,1171.1622,1234.98
2026-08-19,1084.903,1167.6558,1237.0839
2026-08-20,1077.89,1146.617,1264.4344
2026-08-21,1064.5654,1143.1104,1258.8241
2026-08-24,1069.4745,1143.1105,1261.6293
2026-08-25,1044.9292,1146.617,1254.6163
2026-08-26,1045.6305,1150.1234,1260.928
2026-08-27,1005.6567,1139.604,1223.7593
2026-08-28,1018.27997,1164.1493,1228.6683
2026-08-31,1055.4486,1167.6558,1241.2916
2026-09-01,1063.1628,1178.1752,1249.006
2026-09-02,1063.8641,1202.7205,1259.5254
2026-09-03,1073.6823,1195.7075,1263.0319
2026-09-04,1069.4745,1188.6946,1244.0968
2026-09-07,1031.6046,1164.1493,1277.759
2026-09-08,1012.6696,1160.6428,1311.4211
2026-09-09,1018.98126,1157.1364,1301.603
2026-09-10,1003.5528,1164.1493,1320.538
2026-09-11,979.7087,1171.1622,1340.1742
2026-09-14,1018.27997,1171.1622,1347.8884
2026-09-15,1014.7735,1174.6687,1313.525
2026-09-16,1000.7475,1150.1234,1287.5771
2026-09-17,1000.0462,1153.6299,1243.3955
2026-09-18,1000.7475,1139.604,1237.7852
2026-09-21,988.8255,1125.5781,1252.5125
2026-09-22,999.3449,1118.5652,1265.1357
2026-09-23,1000.0462,1150.1234,1284.772
2026-09-24,953.0595,1164.1493,1251.8112
2026-09-25,969.1893,1136.0975,1273.5513
