company_name,nifty_symbol,icici_shortname,match_type
ACME Solar Holdings Ltd.,ACMESOLAR,ACMSOL,company_normalized
Aadhar Housing Finance Ltd.,AADHARHFC,AADHOS,company_normalized
Aarti Industries Ltd.,AARTIIND,AARIND,company_normalized
Aavas Financiers Ltd.,AAVAS,AAVFIN,company_normalized
Action Construction Equipment Ltd.,ACE,ACTCON,company_word_overlap
Acutaas Chemicals Ltd.,ACUTAAS,AMIORG,company_normalized
Aditya Birla Fashion and Retail Ltd.,ABFRL,ADIFAS,company_word_overlap
Aditya Birla Lifestyle Brands Ltd.,ABLBL,ADILIF,company_word_overlap
Aditya Birla Real Estate Ltd.,ABREL,CENTEX,company_normalized
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,ADIAMC,company_normalized
Aditya Infotech Ltd.,CPPLUS,ADIINF,company_normalized
Aegis Logistics Ltd.,AEGISLOG,AEGLOG,company_normalized
Aegis Vopak Terminals Ltd.,AEGISVOPAK,AEGVOP,company_normalized
Afcons Infrastructure Ltd.,AFCONS,AFCINF,company_normalized
Affle 3i Ltd.,AFFLE,AFFIND,company_normalized
Allied Blenders and Distillers Ltd.,ABDL,ALLBLE,company_word_overlap
Amara Raja Energy & Mobility Ltd.,ARE&M,AMARAJ,company_word_overlap
Amber Enterprises India Ltd.,AMBER,AMBEN,company_normalized
Anand Rathi Wealth Ltd.,ANANDRATHI,ANARAT,company_normalized
Anant Raj Ltd.,ANANTRAJ,ANARAJ,company_normalized
Angel One Ltd.,ANGELONE,ANGBRO,company_normalized
Anupam Rasayan India Ltd.,ANURAS,ANURAS,company_normalized
Aptus Value Housing Finance India Ltd.,APTUS,GICHOU,company_word_overlap
Asahi India Glass Ltd.,ASAHIINDIA,ASAIND,company_normalized
Aster DM Quality Care Ltd.,ASTERDM,ASTDM,company_normalized
Ather Energy Ltd.,ATHERENERG,ATHENE,company_normalized
Atul Ltd.,ATUL,ATUL,company_normalized
BEML Ltd.,BEML,BEML,company_normalized
BLS International Services Ltd.,BLS,BLSINT,company_normalized
Balrampur Chini Mills Ltd.,BALRAMCHIN,BALCHI,company_normalized
Bandhan Bank Ltd.,BANDHANBNK,BANBAN,company_normalized
Bata India Ltd.,BATAINDIA,BATIND,company_normalized
Bayer Cropscience Ltd.,BAYERCROP,BAYIND,company_normalized
Belrise Industries Ltd.,BELRISE,BELLIM,company_normalized
Bikaji Foods International Ltd.,BIKAJI,BIKFOO,company_word_overlap
Birlasoft Ltd.,BSOFT,KPITEC,company_normalized
Blue Dart Express Ltd.,BLUEDART,BLUDAR,company_normalized
Blue Jet Healthcare Ltd.,BLUEJET,BLUJET,company_normalized
Bombay Burmah Trading Corporation Ltd.,BBTC,BOMBUR,company_word_overlap
Brainbees Solutions Ltd.,FIRSTCRY,BRASOL,company_normalized
Brigade Enterprises Ltd.,BRIGADE,BRIENT,company_normalized
C.E. Info Systems Ltd.,MAPMYINDIA,PROINF,company_word_overlap
CCL Products (I) Ltd.,CCL,CCLPRO,company_word_overlap
CESC Ltd.,CESC,CESC,company_normalized
CIE Automotive India Ltd.,CIEINDIA,MAHCIE,company_normalized
Can Fin Homes Ltd.,CANFINHOME,CANHOM,company_normalized
Canara HSBC Life Insurance Company Ltd.,CANHLIFE,SBILIF,company_word_overlap
Caplin Point Laboratories Ltd.,CAPLIPOINT,CAPPOI,company_normalized
Capri Global Capital Ltd.,CGCL,CAPGLO,company_normalized
Carborundum Universal Ltd.,CARBORUNIV,CARUNI,company_normalized
Cartrade Tech Ltd.,CARTRADE,CARTEC,company_normalized
Castrol India Ltd.,CASTROLIND,CASIND,company_normalized
Ceat Ltd.,CEATLTD,CEAT,company_normalized
Cemindia Projects Ltd.,CEMPRO,ITDCEM,company_normalized
Central Bank of India,CENTRALBK,CENBAN,company_normalized
Central Depository Services (India) Ltd.,CDSL,CDSL,symbol_exact
Chalet Hotels Ltd.,CHALET,CHAHOT,company_normalized
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,SUKSTA,company_word_overlap
Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHEPET,company_word_overlap
Choice International Ltd.,CHOICEIN,CHOINT,company_normalized
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,TUBINV,company_word_overlap
City Union Bank Ltd.,CUB,CITUNI,company_normalized
Clean Science and Technology Ltd.,CLEAN,CLESCI,company_word_overlap
Cohance Lifesciences Ltd.,COHANCE,SUVPH,company_normalized
Computer Age Management Services Ltd.,CAMS,SATCOM,company_word_overlap
Concord Biotech Ltd.,CONCORDBIO,CONBIO,company_normalized
Craftsman Automation Ltd.,CRAFTSMAN,CRAAUT,company_normalized
CreditAccess Grameen Ltd.,CREDITACC,CREGRA,company_normalized
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,CROGR,company_word_overlap
Cyient Ltd.,CYIENT,CYILIM,company_normalized
DCM Shriram Ltd.,DCMSHRIRAM,DCMSHR,company_normalized
DOMS Industries Ltd.,DOMS,DOMIND,company_normalized
Data Patterns (India) Ltd.,DATAPATTNS,DATPAT,company_word_overlap
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,FORCOM,company_word_overlap
Deepak Nitrite Ltd.,DEEPAKNTR,DEENIT,company_normalized
Delhivery Ltd.,DELHIVERY,DELLIM,company_normalized
Devyani International Ltd.,DEVYANI,DEVIN,company_normalized
Dr. Lal Path Labs Ltd.,LALPATHLAB,DATLAB,company_word_overlap
E.I.D. Parry (India) Ltd.,EIDPARRY,EIDPAR,company_normalized
EIH Ltd.,EIHOTEL,EIHLIM,company_normalized
Elecon Engineering Co. Ltd.,ELECON,FLEENG,company_word_overlap
Elgi Equipments Ltd.,ELGIEQUIP,ELGEQU,company_normalized
Emami Ltd.,EMAMILTD,EMALIM,company_normalized
Emcure Pharmaceuticals Ltd.,EMCURE,EMCPHA,company_normalized
Emmvee Photovoltaic Power Ltd.,EMMVEE,EMMPHO,company_word_overlap
Engineers India Ltd.,ENGINERSIN,ENGIND,company_normalized
Eris Lifesciences Ltd.,ERIS,ERILIF,company_normalized
Fertilisers and Chemicals Travancore Ltd.,FACT,FACT,symbol_exact
Finolex Cables Ltd.,FINCABLES,FINCAB,company_normalized
Firstsource Solutions Ltd.,FSL,FIRSOU,company_normalized
Five-Star Business Finance Ltd.,FIVESTAR,FIVSTA,company_word_overlap
Force Motors Ltd.,FORCEMOT,FORMOT,company_normalized
Gabriel India Ltd.,GABRIEL,GABIND,company_normalized
Gallantt Ispat Ltd.,GALLANTT,GALMET,company_normalized
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,GARREA,company_word_overlap
Gillette India Ltd.,GILLETTE,GILIND,company_normalized
Gland Pharma Ltd.,GLAND,GLAPH,company_normalized
Go Digit General Insurance Ltd.,GODIGIT,GODIGI,company_normalized
Godawari Power & Ispat Ltd.,GPIL,GODPOW,company_word_overlap
Granules India Ltd.,GRANULES,GRANUL,company_normalized
Graphite India Ltd.,GRAPHITE,CAREVE,company_normalized
Gravita India Ltd.,GRAVITA,GRAVIN,company_normalized
Great Eastern Shipping Co. Ltd.,GESHIP,GESHIP,company_normalized
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,GUJMI,company_word_overlap
H.E.G. Ltd.,HEG,HEG,company_normalized
HBL Engineering Ltd.,HBLENGINE,HBLPOW,company_normalized
HFCL Ltd.,HFCL,HIMFUT,company_normalized
Himadri Speciality Chemical Ltd.,HSCL,HIMCHE,company_word_overlap
Hindustan Copper Ltd.,HINDCOPPER,HINCOP,company_normalized
Home First Finance Company India Ltd.,HOMEFIRST,HOMFIR,company_word_overlap
Honasa Consumer Ltd.,HONASA,HONCON,company_normalized
IDBI Bank Ltd.,IDBI,IDBI,company_normalized
IFCI Ltd.,IFCI,IFCI,company_normalized
IIFL Finance Ltd.,IIFL,IIFHOL,company_normalized
IRB Infrastructure Developers Ltd.,IRB,IRBINF,company_word_overlap
IRCON International Ltd.,IRCON,IRCINT,company_normalized
ITI Ltd.,ITI,ITI,symbol_exact
Indegene Ltd.,INDGN,INDLTD,company_normalized
India Cements Ltd.,INDIACEM,INDCEM,company_normalized
Indiamart Intermesh Ltd.,INDIAMART,INDMAR,company_normalized
Indian Energy Exchange Ltd.,IEX,INDEN,company_normalized
Indian Overseas Bank,IOB,INDOVE,company_normalized
Indraprastha Gas Ltd.,IGL,INDGAS,company_word_overlap
Inox Wind Ltd.,INOXWIND,INOWIN,company_normalized
Intellect Design Arena Ltd.,INTELLECT,INTDES,company_normalized
International Gemological Institute Ltd.,IGIL,INTGEM,company_word_overlap
Inventurus Knowledge Solutions Ltd.,IKS,INVKNO,company_word_overlap
JBM Auto Ltd.,JBMA,JBMAUT,company_normalized
JK Tyre & Industries Ltd.,JKTYRE,JKTYRE,symbol_exact
JM Financial Ltd.,JMFINANCIL,JMFINA,company_normalized
JSW Cement Ltd.,JSWCEMENT,JSWCEM,company_normalized
JSW Dulux Ltd.,JSWDULUX,AKZNOB,company_normalized
Jain Resource Recycling Ltd.,JAINREC,JAIRES,company_normalized
Jaiprakash Power Ventures Ltd.,JPPOWER,JAIPOW,company_word_overlap
Jammu & Kashmir Bank Ltd.,J&KBANK,JAMKAS,company_word_overlap
Jindal Saw Ltd.,JINDALSAW,JINSAW,company_normalized
Jubilant Ingrevia Ltd.,JUBLINGREA,JUBING,company_normalized
Jubilant Pharmova Ltd.,JUBLPHARMA,JUBLIF,company_normalized
